standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;max_geschwindigkeit;quelle
gesamt;Januar;915054;2712;2094;1985;109;92;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Februar;882134;2004;1485;1409;76;93;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Maerz;1146289;1823;1494;1399;95;110;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;April;1077530;2752;1992;1889;103;103;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Mai;1098507;2774;2171;2068;103;94;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juni;952691;2158;1551;1475;76;98;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Juli;1280061;3493;2600;2413;187;107;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;August;1208517;3428;2507;2416;91;94;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;September;786896;2674;2041;1970;71;86;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Oktober;851505;2768;2137;1984;153;124;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;November;878713;2150;1666;1565;101;106;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
gesamt;Dezember;690419;1447;1133;1071;62;91;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Januar;141399;1099;930;910;20;52;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Februar;114670;725;595;580;15;54;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Maerz;124025;632;547;541;6;49;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;April;100538;767;619;607;12;51;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Mai;190691;1271;1116;1091;25;68;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juni;100331;506;416;404;12;64;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juli;105567;822;690;677;13;53;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;August;214775;1751;1368;1343;25;55;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;September;221418;1456;1196;1169;27;55;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Oktober;119226;752;518;502;16;50;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;November;193520;830;697;683;14;55;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Dezember;155570;283;247;241;6;49;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Januar;20151;9;5;5;0;42;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Februar;9617;5;5;5;0;44;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Maerz;25877;17;3;3;0;39;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;April;39353;20;8;8;0;39;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Mai;31757;14;3;3;0;39;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juni;16969;6;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juli;52838;23;10;10;0;40;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;August;16351;9;6;6;0;45;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;September;41358;21;12;12;0;41;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Oktober;25545;13;8;8;0;39;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;November;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Dezember;32308;31;13;13;0;42;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Januar;28367;47;38;38;0;43;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Februar;9257;32;25;22;3;49;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Maerz;34550;83;76;73;3;50;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;April;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Mai;32527;81;69;68;1;44;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juni;6571;16;1;1;0;37;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Juli;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;August;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;September;33409;122;102;97;5;54;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Oktober;41853;105;94;89;5;50;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;November;36871;49;42;38;4;54;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Dezember;26548;68;59;58;1;46;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Januar;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Februar;216981;257;173;162;11;75;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Maerz;11830;6;2;2;0;56;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;April;91693;106;65;62;3;74;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Mai;7006;9;8;7;1;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juni;72717;111;87;84;3;80;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Juli;140938;188;118;114;4;71;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;August;72945;123;67;66;1;73;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;September;43899;77;55;53;2;76;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Oktober;75406;104;83;82;1;75;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;November;96354;112;71;70;1;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Mainaustr;Dezember;31786;28;24;24;0;61;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Januar;83508;100;74;70;4;62;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Februar;5449;10;5;5;0;50;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Maerz;102597;115;95;91;4;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;April;63275;105;83;82;1;60;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Mai;56038;99;57;54;3;56;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juni;141159;207;166;160;6;64;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juli;42668;96;65;64;1;59;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;August;108583;269;185;181;4;63;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;September;83883;137;101;96;5;68;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Oktober;43453;37;33;31;2;63;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;November;66527;60;39;37;2;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Dezember;41063;58;54;52;2;57;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Januar;126696;298;199;188;11;61;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Februar;132652;305;245;221;24;71;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Maerz;3705;13;10;10;0;56;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;April;205272;534;365;341;24;63;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Mai;177687;347;211;205;6;60;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Juni;112598;245;163;156;7;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Juli;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;August;103000;313;239;216;23;67;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;September;61825;138;113;107;6;61;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Oktober;195207;359;256;237;19;64;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;November;29985;45;27;25;2;57;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Moschee;Dezember;223194;527;397;369;28;78;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Januar;208734;133;69;61;8;82;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Februar;71765;17;10;9;1;77;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Maerz;586600;308;191;175;16;96;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;April;108497;32;17;17;0;73;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Mai;249089;47;16;16;0;73;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Juni;38149;12;6;6;0;69;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Juli;417804;298;142;127;15;95;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;August;459667;264;140;131;9;92;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;September;111741;120;64;62;2;86;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Oktober;59755;21;15;14;1;76;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;November;87484;30;16;15;1;97;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Casino;Dezember;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Januar;306199;1026;779;713;66;92;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Februar;321743;653;427;405;22;93;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Maerz;257105;649;570;504;66;110;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;April;468902;1188;835;772;63;103;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Mai;353712;906;691;624;67;94;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Juni;464197;1055;712;664;48;98;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Juli;520246;2066;1575;1421;154;107;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;August;233196;699;502;473;29;94;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;September;189363;603;398;374;24;83;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Oktober;291060;1377;1130;1021;109;124;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;November;367972;1024;774;697;77;106;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Europabruecke;Dezember;179950;452;339;314;25;91;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
